Name,Age,Score,Group
Beverly Silva,23.0,67.14,"Sports Club, Robotics, Entrepreneurship Cell"
Timothy Riley,21.0,95.12,Entrepreneurship Cell
Kavya,22.0,64.94,"Cultural Club, Coding Club"
Susan Porter,21.0,65.1,"Literary Society, Entrepreneurship Cell, Robotics"
Ramya,19.0,78.62,Robotics
Olivia Ayers,23.0,89.29,"Entrepreneurship Cell, Sports Club"
Nicholas Adams,18.0,72.13,"Sports Club, Literary Society"
Theresa Barnett,18.0,81.33,"Sports Club, Coding Club"
Kavya,23.0,63.39,Entrepreneurship Cell
Melissa Taylor,21.0,84.72,Cultural Club
Jeremy Baker,23.0,61.39,Cultural Club
Ravi,23.0,60.62,"Sports Club, Literary Society, Entrepreneurship Cell"
David Wright,18.0,97.41,"Robotics, Sports Club, Coding Club"
Sarah Jones,19.0,78.15,Robotics
Meena,23.0,70.97,"Robotics, Literary Society, Cultural Club"
Karan,21.0,65.26,"Literary Society, Entrepreneurship Cell"
Kimberly Arroyo,18.0,89.99,Sports Club
Claudia Jordan,20.0,62.68,Robotics
Amit,23.0,65.54,Sports Club
Amit,20.0,68.32,"Entrepreneurship Cell, Sports Club"
Carla Gray,18.0,63.85,"Robotics, Literary Society"
Erica Turner,23.0,67.53,Coding Club
Nancy Cook,19.0,65.17,"Robotics, Literary Society, Sports Club"
Rakhi,22.0,71.11,Cultural Club
Arjun,18.0,85.79,"Literary Society, Sports Club"
Vikram,22.0,76.85,Sports Club
Janice Combs,18.0,74.12,Robotics
Divya,23.0,62.26,"Coding Club, Entrepreneurship Cell"
Anita,19.0,65.28,"Robotics, Literary Society, Cultural Club"
Anna Stanley,19.0,72.21,"Cultural Club, Coding Club"
Clinton Johnson,18.0,97.86,Cultural Club
Juan Daniels,21.0,76.28,"Robotics, Entrepreneurship Cell"
Beverly Russo,22.0,89.77,"Cultural Club, Entrepreneurship Cell, Literary Society"
Rakesh,18.0,79.98,"Robotics, Literary Society"
Robin Santiago,23.0,66.94,"Cultural Club, Coding Club"
Christina Hicks,23.0,98.22,"Literary Society, Robotics"
Karan,18.0,61.13,"Coding Club, Cultural Club, Sports Club"
Anita,22.0,85.66,Coding Club
Sarah Barrett,23.0,69.36,"Cultural Club, Robotics"
Arjun,20.0,86.03,"Literary Society, Entrepreneurship Cell"
Pooja,18.0,79.62,"Coding Club, Entrepreneurship Cell"
Reginald Diaz,22.0,90.01,Cultural Club
Rahul,21.0,91.97,Entrepreneurship Cell
Jeffrey Smith,23.0,92.66,Cultural Club
Suresh,19.0,85.51,"Entrepreneurship Cell, Robotics"
Arjun,18.0,83.41,"Cultural Club, Sports Club"
Sonal,22.0,97.31,"Coding Club, Literary Society"
Kavya,23.0,76.52,Literary Society
Antonio Mccormick,20.0,67.27,Robotics
Cassandra Gaines,21.0,76.78,"Sports Club, Literary Society, Robotics"
Laurie Sanchez,18.0,61.46,Literary Society
Anil,23.0,84.17,"Coding Club, Entrepreneurship Cell"
Karan,22.0,80.73,"Robotics, Coding Club, Sports Club"
Sonal,18.0,71.47,"Robotics, Cultural Club"
Lauren Robles,21.0,67.73,Entrepreneurship Cell
Michelle Sanders,18.0,60.72,"Sports Club, Coding Club, Robotics"
Linda Carr,20.0,95.54,Cultural Club
Kristina Rivera,23.0,60.62,"Sports Club, Literary Society, Entrepreneurship Cell"
Alison Short,18.0,61.6,Robotics
Kavya,19.0,64.05,"Entrepreneurship Cell, Robotics"
Priya,22.0,94.85,"Cultural Club, Literary Society"
Arjun,21.0,91.97,Entrepreneurship Cell
Anil,22.0,68.27,"Coding Club, Sports Club, Entrepreneurship Cell"
Daniel Fisher,23.0,83.69,"Coding Club, Robotics"
Suresh,23.0,60.62,"Sports Club, Literary Society, Entrepreneurship Cell"
Vikram,20.0,85.87,"Sports Club, Coding Club, Entrepreneurship Cell"
Karan,22.0,72.22,Literary Society
Rakesh,20.0,79.84,Entrepreneurship Cell
Neha,19.0,62.56,Sports Club
April Davis,22.0,98.54,"Cultural Club, Entrepreneurship Cell, Sports Club"
Anil,22.0,64.73,Coding Club
Aaron Jennings,19.0,71.56,"Robotics, Literary Society"
Julia Wilson,21.0,92.3,"Literary Society, Coding Club, Cultural Club"
Divya,23.0,99.85,"Entrepreneurship Cell, Literary Society, Sports Club"
Kavya,22.0,63.36,Entrepreneurship Cell
Vikram,23.0,95.82,Cultural Club
Kevin Hall,23.0,71.18,"Robotics, Coding Club, Cultural Club"
Shannon Yu,18.0,62.79,Cultural Club
Timothy Long,20.0,82.41,"Robotics, Entrepreneurship Cell, Literary Society"
Amit,18.0,98.74,Robotics
Ramya,23.0,99.52,"Robotics, Entrepreneurship Cell, Cultural Club"
Anita,19.0,84.79,Literary Society
Rakesh,19.0,80.5,"Robotics, Coding Club, Cultural Club"
Cynthia Cochran,22.0,83.72,"Entrepreneurship Cell, Sports Club"
Mark Newman,19.0,78.74,"Sports Club, Entrepreneurship Cell, Literary Society"
Arjun,21.0,60.16,Literary Society
Amit,19.0,66.37,Robotics
Michael Fischer,18.0,92.91,"Sports Club, Robotics"
Angelica Garcia,20.0,85.71,"Cultural Club, Entrepreneurship Cell, Robotics"
Debra Ortiz,23.0,81.34,"Coding Club, Literary Society, Entrepreneurship Cell"
Divya,20.0,67.37,"Entrepreneurship Cell, Coding Club, Robotics"
Divya,18.0,92.64,Entrepreneurship Cell
Meena,20.0,84.65,Sports Club
Siddharth,19.0,84.74,Robotics
Scott Gordon,22.0,60.04,"Robotics, Entrepreneurship Cell"
Allen Rosales,18.0,76.12,"Coding Club, Literary Society, Sports Club"
Kimberly Smith,21.0,60.13,Coding Club
Neha,18.0,79.01,Cultural Club
Karan,19.0,88.33,Robotics
William Moon IV,19.0,91.69,"Entrepreneurship Cell, Cultural Club, Coding Club"
Melissa Brewer,23.0,77.21,Literary Society
Phillip Burns,20.0,75.08,"Literary Society, Sports Club, Cultural Club"
Divya,20.0,78.24,"Entrepreneurship Cell, Coding Club, Cultural Club"
David Trujillo,22.0,64.46,Coding Club
Michael Lopez,18.0,98.87,"Coding Club, Literary Society, Cultural Club"
Brenda Wright,18.0,71.03,"Coding Club, Robotics"
Mark Smith,19.0,91.43,"Entrepreneurship Cell, Literary Society, Cultural Club"
Kevin Alvarado,21.0,84.85,"Sports Club, Coding Club, Cultural Club"
Kelli Smith,18.0,60.75,Cultural Club
Jay Allen,19.0,90.23,"Literary Society, Entrepreneurship Cell, Robotics"
Danielle Wheeler,21.0,98.72,Coding Club
Arjun,18.0,79.47,"Sports Club, Cultural Club"
Anita,19.0,65.45,"Literary Society, Coding Club"
Kelly Welch,19.0,83.45,"Sports Club, Literary Society"
Jessica Rojas,18.0,72.54,"Robotics, Literary Society"
John Brown,21.0,95.63,"Coding Club, Robotics, Sports Club"
Priya,18.0,93.88,"Cultural Club, Sports Club, Robotics"
Suresh,23.0,66.73,"Entrepreneurship Cell, Coding Club"
Christopher Bernard,22.0,74.34,Entrepreneurship Cell
Karan,23.0,99.46,"Sports Club, Entrepreneurship Cell, Literary Society"
Ramya,23.0,94.0,"Robotics, Sports Club"
Rhonda Martin,18.0,87.29,"Cultural Club, Sports Club"
Meena,22.0,63.61,"Sports Club, Robotics"
Meena,23.0,83.75,"Entrepreneurship Cell, Robotics"
Bradley Santana,18.0,74.51,Cultural Club
Anil,21.0,79.1,Cultural Club
Meena,19.0,70.26,"Cultural Club, Entrepreneurship Cell"
Kenneth Perez,22.0,84.75,"Robotics, Entrepreneurship Cell"
Amit,19.0,78.74,"Sports Club, Entrepreneurship Cell, Literary Society"
Steven Wallace,21.0,79.13,Coding Club
Pooja,18.0,82.97,"Literary Society, Coding Club, Robotics"
Karan,19.0,84.41,"Entrepreneurship Cell, Sports Club, Cultural Club"
Thomas Brown,18.0,89.79,Literary Society
Cody Cox,21.0,90.38,Entrepreneurship Cell
Arjun,18.0,92.22,"Entrepreneurship Cell, Cultural Club, Sports Club"
Ravi,22.0,86.48,"Literary Society, Entrepreneurship Cell"
Renee Wolfe,20.0,68.95,"Literary Society, Robotics, Coding Club"
Daniel Baker,22.0,75.66,"Entrepreneurship Cell, Robotics, Coding Club"
Vikram,22.0,63.18,"Entrepreneurship Cell, Cultural Club, Coding Club"
Tracey Phillips,23.0,79.68,"Coding Club, Cultural Club, Entrepreneurship Cell"
Michael Smith,18.0,92.72,"Entrepreneurship Cell, Coding Club"
Divya,20.0,75.08,"Literary Society, Sports Club, Cultural Club"
Siddharth,23.0,74.5,"Cultural Club, Coding Club, Literary Society"
Suresh,19.0,73.61,"Sports Club, Literary Society, Robotics"
Jasmine Bush,20.0,89.64,"Literary Society, Robotics"
Michael Meadows,20.0,97.24,"Coding Club, Robotics, Sports Club"
Jason Hudson,18.0,91.81,"Literary Society, Cultural Club"
Megan Floyd,22.0,60.77,"Sports Club, Robotics"
Lori Hernandez,19.0,62.14,"Coding Club, Entrepreneurship Cell, Literary Society"
Kathleen Burton,21.0,67.3,"Cultural Club, Literary Society, Robotics"
Tricia Valencia,20.0,73.13,"Literary Society, Coding Club"
Meghan White,22.0,87.45,Cultural Club
Jeff Owens,18.0,83.41,"Cultural Club, Sports Club"
Kim Lopez,19.0,73.34,Cultural Club
Meena,22.0,65.77,"Literary Society, Entrepreneurship Cell, Cultural Club"
Brian Mora,21.0,89.04,Entrepreneurship Cell
Rakesh,21.0,77.21,Sports Club
Autumn Key,22.0,63.36,Entrepreneurship Cell
Andrew Fernandez,22.0,61.81,"Coding Club, Sports Club"
Blake Watson,22.0,78.0,Sports Club
Katelyn Rivera,20.0,79.27,"Coding Club, Robotics, Entrepreneurship Cell"
Vikram,22.0,71.68,"Cultural Club, Robotics, Literary Society"
Ramya,21.0,89.78,Sports Club
Ravi,22.0,62.14,Sports Club
Anthony Romero,22.0,96.63,"Robotics, Entrepreneurship Cell"
Neha,21.0,92.29,"Sports Club, Coding Club"
Kavya,23.0,92.66,Cultural Club
Amy Scott,21.0,79.94,"Robotics, Sports Club, Coding Club"
Priya,20.0,82.41,"Robotics, Entrepreneurship Cell, Literary Society"
Anthony Bell,18.0,67.96,Sports Club
Katrina Hill,19.0,76.86,"Literary Society, Sports Club"
David Sullivan,19.0,73.03,"Sports Club, Cultural Club, Entrepreneurship Cell"
Shawn Kelley,22.0,96.95,"Literary Society, Coding Club, Robotics"
Sonal,18.0,68.48,"Sports Club, Entrepreneurship Cell, Cultural Club"
Samantha Robertson,21.0,63.35,"Coding Club, Cultural Club, Entrepreneurship Cell"
Michael Roberson,22.0,86.81,"Sports Club, Literary Society"
Kavya,18.0,87.29,"Cultural Club, Sports Club"
Francis Robinson,18.0,91.46,Coding Club
Pooja,19.0,76.73,"Coding Club, Cultural Club, Robotics"
Ann Williams,22.0,79.41,Entrepreneurship Cell
Katherine Salas,19.0,98.74,Cultural Club
Divya,22.0,71.33,Cultural Club
Anita,19.0,93.23,"Literary Society, Sports Club, Robotics"
Rakhi,22.0,78.93,"Entrepreneurship Cell, Coding Club, Sports Club"
Ann Powers,19.0,73.54,"Cultural Club, Robotics, Entrepreneurship Cell"
Joshua Harvey,22.0,68.67,"Sports Club, Robotics"
Vikram,20.0,77.51,Entrepreneurship Cell
Teresa Rodriguez,23.0,99.04,"Robotics, Sports Club, Entrepreneurship Cell"
Siddharth,18.0,60.53,"Sports Club, Robotics, Coding Club"
Michelle Krause,18.0,85.79,"Literary Society, Sports Club"
Priya,23.0,93.37,"Robotics, Sports Club, Literary Society"
Amit,23.0,77.34,"Coding Club, Robotics"
Joshua Arellano,22.0,98.13,"Cultural Club, Coding Club"
Robert Lawson,19.0,79.06,Literary Society
Danielle Wilson,22.0,97.64,"Entrepreneurship Cell, Coding Club, Cultural Club"
Erin Smith,19.0,67.32,"Literary Society, Sports Club, Cultural Club"
Meena,19.0,88.94,Literary Society
Rahul,20.0,76.71,Literary Society
Kavya,20.0,61.3,"Entrepreneurship Cell, Sports Club, Robotics"
Priya,23.0,99.85,"Entrepreneurship Cell, Literary Society, Sports Club"
Kathleen Rodriguez,20.0,74.93,"Robotics, Coding Club"
Anita,22.0,96.95,"Literary Society, Coding Club, Robotics"
Karan,18.0,87.66,"Literary Society, Sports Club, Cultural Club"
Michael Dixon,22.0,74.2,"Entrepreneurship Cell, Coding Club"
Katie Hoover,23.0,94.74,Sports Club
Amit,23.0,80.2,Entrepreneurship Cell
Anil,19.0,60.58,Literary Society
Stephanie Ross,22.0,97.62,"Robotics, Literary Society"
Anil,21.0,91.71,Literary Society
Ramya,20.0,89.66,"Sports Club, Coding Club"
Vikram,22.0,65.67,Sports Club
Anna Morse,22.0,69.96,"Sports Club, Cultural Club, Coding Club"
Rakesh,22.0,94.12,Coding Club
Curtis Watson,20.0,91.52,"Sports Club, Literary Society, Coding Club"
Amit,18.0,71.03,"Coding Club, Robotics"
Pooja,22.0,61.78,"Coding Club, Robotics"
Kavya,18.0,85.37,Sports Club
Priya,18.0,70.75,"Robotics, Cultural Club, Sports Club"
Patrick Mcneil,23.0,63.39,Robotics
Rahul,20.0,64.88,Robotics
Richard Cooper,22.0,78.71,"Robotics, Sports Club"
Diane Mcdowell,20.0,67.41,"Entrepreneurship Cell, Cultural Club, Robotics"
Ramya,23.0,73.28,"Robotics, Cultural Club"
Amanda Reese,21.0,78.47,Cultural Club
Theresa Miller,22.0,83.22,"Entrepreneurship Cell, Cultural Club, Coding Club"
Arjun,23.0,88.84,"Robotics, Literary Society"
Michael Guerrero,19.0,85.13,"Literary Society, Sports Club, Coding Club"
Kavya,18.0,71.84,"Sports Club, Cultural Club"
Kavya,20.0,93.84,"Entrepreneurship Cell, Cultural Club"
Ashley Jordan,23.0,90.59,"Literary Society, Sports Club, Entrepreneurship Cell"
Jerry Henderson,19.0,99.22,Literary Society
Matthew Wells,18.0,82.59,"Sports Club, Cultural Club"
Rakesh,21.0,73.72,"Entrepreneurship Cell, Cultural Club"
Rakesh,21.0,91.45,Robotics
Jessica Johnson,19.0,70.44,"Cultural Club, Entrepreneurship Cell"
Meena,21.0,72.15,"Cultural Club, Literary Society"
Sonal,19.0,88.94,Literary Society
Michael Gregory,23.0,61.4,"Cultural Club, Robotics, Coding Club"
Pooja,20.0,87.58,"Entrepreneurship Cell, Cultural Club"
Elizabeth Rodriguez,19.0,71.65,"Sports Club, Coding Club"
Rakesh,19.0,94.96,Cultural Club
Neha,21.0,60.09,"Coding Club, Sports Club, Cultural Club"
Suresh,23.0,74.06,"Literary Society, Sports Club"
Pooja,22.0,66.39,Literary Society
Karan,19.0,65.6,"Coding Club, Cultural Club"
Rahul,19.0,80.6,Literary Society
Meena,20.0,73.39,Literary Society
Siddharth,23.0,96.08,Coding Club
Dawn Wyatt,21.0,77.94,"Cultural Club, Coding Club"
Amit,22.0,86.0,"Sports Club, Robotics, Coding Club"
Michael Armstrong,23.0,68.28,"Literary Society, Robotics, Cultural Club"
Michael Woods,19.0,97.65,"Sports Club, Cultural Club, Coding Club"
Pooja,20.0,86.72,"Literary Society, Robotics, Entrepreneurship Cell"
Wendy Rhodes,20.0,87.58,"Entrepreneurship Cell, Cultural Club"
Ramya,19.0,86.28,Coding Club
Kelly Hendrix,22.0,78.8,Coding Club
Charles Richardson,20.0,99.95,Sports Club
Juan Tran,22.0,85.72,Cultural Club
Anil,18.0,90.39,Entrepreneurship Cell
Rahul,23.0,63.39,Entrepreneurship Cell
Breanna Ayala,21.0,96.16,"Coding Club, Cultural Club"
Ramya,22.0,95.15,"Literary Society, Sports Club, Cultural Club"
Ramya,22.0,61.42,Sports Club
Karan,22.0,61.68,"Robotics, Entrepreneurship Cell"
Rachael Pearson,22.0,62.93,"Literary Society, Robotics, Entrepreneurship Cell"
Sonal,19.0,97.65,"Sports Club, Cultural Club, Coding Club"
Amit,19.0,79.11,"Sports Club, Literary Society"
Amanda Guzman,22.0,79.04,"Sports Club, Entrepreneurship Cell, Coding Club"
Meena,21.0,67.17,"Robotics, Cultural Club"
Anita,21.0,76.28,"Robotics, Entrepreneurship Cell"
Matthew Mcmillan,22.0,73.83,"Cultural Club, Robotics"
Barbara Dudley,21.0,61.24,Entrepreneurship Cell
Tammy Boone,21.0,76.94,Robotics
Neha,18.0,61.25,"Coding Club, Robotics, Sports Club"
Amanda Logan,20.0,82.4,"Literary Society, Sports Club, Coding Club"
Karan,23.0,63.39,Entrepreneurship Cell
Priya,23.0,86.15,"Robotics, Coding Club, Literary Society"
Priya,21.0,94.13,"Coding Club, Entrepreneurship Cell, Cultural Club"
Dylan Miller,23.0,97.72,"Literary Society, Cultural Club, Sports Club"
Anil,22.0,72.98,"Cultural Club, Coding Club, Literary Society"
Sonal,18.0,60.53,"Literary Society, Robotics"
Rahul,20.0,60.72,"Sports Club, Robotics, Literary Society"
Justin Vargas,18.0,62.54,"Cultural Club, Sports Club, Robotics"
Andrea Davis,19.0,94.96,Cultural Club
Rahul,21.0,61.47,"Robotics, Cultural Club"
Kenneth Huff,23.0,60.1,"Coding Club, Cultural Club, Entrepreneurship Cell"
Ramya,21.0,82.13,Entrepreneurship Cell
Claudia Rodriguez,22.0,85.02,Cultural Club
Rakesh,22.0,91.45,"Entrepreneurship Cell, Cultural Club"
Arjun,22.0,71.29,"Sports Club, Literary Society, Entrepreneurship Cell"
Roger Adams,21.0,72.44,Sports Club
Jennifer Hampton,20.0,91.76,Entrepreneurship Cell
Suresh,21.0,92.75,Robotics
Bonnie Bennett,19.0,90.3,"Entrepreneurship Cell, Cultural Club"
Vikram,20.0,85.35,"Sports Club, Entrepreneurship Cell, Coding Club"
Kavya,20.0,67.47,Literary Society
Meena,20.0,95.54,Cultural Club
Christina Dunn,19.0,69.59,Coding Club
Jim Baker,21.0,90.89,Entrepreneurship Cell
Shannon Green,18.0,82.02,"Literary Society, Robotics"
Pooja,18.0,61.44,"Literary Society, Entrepreneurship Cell, Cultural Club"
Arjun,19.0,89.39,"Sports Club, Robotics"
Nancy Stewart,19.0,96.23,"Entrepreneurship Cell, Cultural Club"
Ravi,18.0,76.21,Cultural Club
Kirk Johnson,22.0,68.46,Cultural Club
Mackenzie Martin,21.0,75.0,"Coding Club, Entrepreneurship Cell"
Rakesh,18.0,65.37,"Literary Society, Sports Club, Robotics"
Ramya,18.0,78.56,"Literary Society, Sports Club, Robotics"
Michael Roberts,21.0,91.71,Literary Society
Anil,20.0,85.04,Entrepreneurship Cell
Rahul,22.0,64.73,Coding Club
Kristin Anderson,18.0,98.73,"Robotics, Literary Society, Entrepreneurship Cell"
Ashley Lopez,22.0,94.92,Literary Society
Karan,21.0,63.31,"Sports Club, Robotics, Entrepreneurship Cell"
Cheryl Rhodes,21.0,92.11,"Coding Club, Sports Club, Cultural Club"
Meena,19.0,62.14,"Coding Club, Entrepreneurship Cell, Literary Society"
Brian Perry,22.0,96.83,"Sports Club, Literary Society, Robotics"
Anil,18.0,89.79,Literary Society
Nicole Morgan,21.0,78.31,Literary Society
Anita,18.0,70.19,Robotics
Priya,18.0,82.63,"Literary Society, Robotics, Sports Club"
Stephen Alvarez,21.0,99.96,"Literary Society, Entrepreneurship Cell"
Miss Debra Williams PhD,18.0,93.88,"Cultural Club, Sports Club, Robotics"
Suzanne Norton,22.0,93.87,"Coding Club, Cultural Club"
Priya,21.0,65.02,"Entrepreneurship Cell, Cultural Club, Robotics"
Charles Delgado,21.0,72.84,"Literary Society, Entrepreneurship Cell, Sports Club"
Savannah Garcia,19.0,91.7,"Coding Club, Literary Society, Entrepreneurship Cell"
Amit,20.0,61.79,Literary Society
Christopher Davis,21.0,81.52,"Robotics, Entrepreneurship Cell"
Dana Thomas,23.0,71.19,"Coding Club, Sports Club, Robotics"
Kimberly Morris,19.0,89.21,"Literary Society, Coding Club, Entrepreneurship Cell"
Arjun,21.0,61.24,Entrepreneurship Cell
James Webster,22.0,65.77,"Literary Society, Entrepreneurship Cell, Cultural Club"
Denise King,23.0,62.58,"Literary Society, Robotics"
Pooja,23.0,92.0,"Cultural Club, Sports Club, Coding Club"
Charles Lester,21.0,83.65,"Sports Club, Coding Club, Literary Society"
Vikram,20.0,80.9,"Entrepreneurship Cell, Cultural Club"
Louis Diaz,22.0,63.74,"Cultural Club, Literary Society, Entrepreneurship Cell"
Ronald Jones,21.0,73.41,"Literary Society, Robotics, Sports Club"
Meena,20.0,82.4,"Literary Society, Sports Club, Coding Club"
Vikram,21.0,89.22,Coding Club
Siddharth,23.0,75.16,Robotics
Rahul,18.0,82.59,"Sports Club, Cultural Club"
Anita,22.0,83.22,"Entrepreneurship Cell, Cultural Club, Coding Club"
Neha,22.0,88.71,"Robotics, Coding Club, Literary Society"
Siddharth,19.0,70.38,"Entrepreneurship Cell, Literary Society"
Kavya,22.0,96.83,"Sports Club, Literary Society, Robotics"
Timothy Johnson,18.0,77.85,"Sports Club, Entrepreneurship Cell, Coding Club"
Neha,18.0,80.89,"Cultural Club, Sports Club, Literary Society"
Angela Baker,21.0,84.85,Coding Club
Sonal,20.0,86.8,Cultural Club
Heather Lane,18.0,88.56,"Sports Club, Literary Society"
Chris Cannon,22.0,89.85,"Literary Society, Entrepreneurship Cell, Cultural Club"
Javier Johnson,20.0,60.53,Robotics
Sandra Zimmerman,19.0,98.47,"Sports Club, Literary Society, Coding Club"
Anthony Walker,22.0,72.14,"Literary Society, Robotics, Coding Club"
Siddharth,20.0,60.62,Sports Club
Tiffany Wilson,21.0,97.57,"Literary Society, Sports Club, Coding Club"
Karan,18.0,98.06,"Cultural Club, Entrepreneurship Cell"
Pooja,22.0,87.41,"Literary Society, Entrepreneurship Cell"
Meena,20.0,74.98,"Robotics, Literary Society, Coding Club"
Ramya,18.0,96.55,"Sports Club, Coding Club"
Kavya,23.0,79.86,"Cultural Club, Entrepreneurship Cell"
Vikram,20.0,81.67,"Entrepreneurship Cell, Robotics, Sports Club"
Kavya,23.0,94.94,"Robotics, Entrepreneurship Cell, Coding Club"
Rakesh,20.0,82.96,Coding Club
Justin Russell,22.0,62.5,"Sports Club, Robotics, Literary Society"
Amit,18.0,65.18,"Entrepreneurship Cell, Robotics, Sports Club"
Ramya,19.0,98.92,Literary Society
Ravi,21.0,72.15,"Cultural Club, Literary Society"
Neha,22.0,69.23,"Cultural Club, Coding Club, Entrepreneurship Cell"
Siddharth,22.0,64.68,"Entrepreneurship Cell, Coding Club, Cultural Club"
Neha,19.0,95.62,"Sports Club, Robotics, Entrepreneurship Cell"
Meena,21.0,60.09,"Coding Club, Sports Club, Cultural Club"
Suresh,22.0,60.33,Robotics
Heather Lopez,23.0,93.37,"Robotics, Sports Club, Literary Society"
Divya,19.0,62.45,"Robotics, Sports Club, Coding Club"
Rahul,18.0,87.1,"Cultural Club, Coding Club, Sports Club"
Anita,19.0,72.0,"Coding Club, Cultural Club, Sports Club"
Suresh,18.0,71.84,"Sports Club, Cultural Club"
Brittany Hopkins,19.0,76.01,Literary Society
Michael Rogers,23.0,91.6,Coding Club
Kavya,21.0,82.13,Entrepreneurship Cell
Divya,18.0,75.09,"Sports Club, Cultural Club"
Kathy Cruz,21.0,70.45,"Literary Society, Robotics"
Rakhi,20.0,73.64,"Coding Club, Entrepreneurship Cell, Literary Society"
Vikram,20.0,72.19,"Literary Society, Coding Club"
Brian Cole,18.0,87.66,"Literary Society, Sports Club, Cultural Club"
Ross Hood,23.0,72.53,Robotics
Kenneth Hanna,22.0,64.73,Coding Club
Ramya,23.0,71.18,"Robotics, Coding Club, Cultural Club"
Anita,22.0,87.41,"Literary Society, Entrepreneurship Cell"
Amit,23.0,74.06,"Literary Society, Sports Club"
Rakesh,19.0,92.89,Sports Club
Amit,18.0,69.61,"Cultural Club, Entrepreneurship Cell"
Pooja,21.0,61.52,Cultural Club
Anil,21.0,89.22,Coding Club
Sonal,23.0,71.52,"Coding Club, Entrepreneurship Cell, Literary Society"
Amit,19.0,77.98,"Robotics, Sports Club, Literary Society"
Karan,18.0,70.1,"Cultural Club, Robotics"
Divya,21.0,87.45,"Literary Society, Sports Club"
Sonal,19.0,86.84,"Robotics, Sports Club"
Divya,19.0,70.26,"Cultural Club, Entrepreneurship Cell"
Sonal,23.0,83.29,"Cultural Club, Sports Club"
Ravi,23.0,83.07,Sports Club
Jane Chapman,19.0,87.38,Coding Club
Joseph Glover,21.0,64.56,Cultural Club
Amit,19.0,91.35,"Cultural Club, Robotics"
Karan,19.0,72.69,"Cultural Club, Sports Club"
William Johnson,21.0,63.18,Sports Club
Victor Nelson,22.0,96.01,"Literary Society, Cultural Club"
Daniel Fox,21.0,73.67,"Cultural Club, Literary Society, Coding Club"
Amit,19.0,93.14,"Cultural Club, Robotics"
Karan,22.0,89.77,"Cultural Club, Entrepreneurship Cell, Literary Society"
Arjun,23.0,63.39,Entrepreneurship Cell
Suresh,23.0,99.52,"Robotics, Entrepreneurship Cell, Cultural Club"
Kimberly Myers,23.0,63.76,"Robotics, Coding Club, Entrepreneurship Cell"
Pooja,21.0,96.16,"Coding Club, Cultural Club"
Curtis Elliott,22.0,62.14,Sports Club
Meena,20.0,63.29,"Sports Club, Robotics"
Rahul,21.0,87.92,"Sports Club, Literary Society, Entrepreneurship Cell"
Elizabeth Miller,23.0,76.78,"Cultural Club, Sports Club"
Anita,20.0,77.43,"Literary Society, Sports Club, Robotics"
Rahul,18.0,77.59,"Literary Society, Coding Club"
Rodney Williams,19.0,92.06,Entrepreneurship Cell
Arjun,23.0,94.48,"Literary Society, Robotics, Cultural Club"
Paul Castaneda,23.0,86.27,"Coding Club, Robotics, Entrepreneurship Cell"
Anil,18.0,69.71,Literary Society
Michael Thompson,19.0,60.43,"Entrepreneurship Cell, Cultural Club, Sports Club"
Pooja,19.0,72.08,"Cultural Club, Coding Club, Sports Club"
Vanessa Rowe,23.0,98.33,Entrepreneurship Cell
Karen Smith,19.0,60.23,Coding Club
Anil,20.0,64.16,"Entrepreneurship Cell, Coding Club, Robotics"
Meena,19.0,79.57,Literary Society
Divya,20.0,72.53,Coding Club
Jamie Lopez,20.0,72.86,"Cultural Club, Robotics, Coding Club"
Ramya,21.0,66.7,Cultural Club
Kavya,22.0,61.78,"Coding Club, Robotics"
Richard Palmer,18.0,90.15,Entrepreneurship Cell
Alexis Harris,19.0,62.57,Cultural Club
Andrew Moreno,18.0,64.33,"Entrepreneurship Cell, Robotics, Cultural Club"
Joseph Lopez,20.0,84.65,Sports Club
Eric Brown,23.0,93.54,"Cultural Club, Robotics, Entrepreneurship Cell"
Jonathon Johnson,23.0,62.65,"Sports Club, Cultural Club"
Karan,18.0,67.07,Entrepreneurship Cell
Rakesh,19.0,89.39,"Sports Club, Robotics"
Divya,19.0,76.74,"Coding Club, Literary Society"
Neha,23.0,83.39,"Cultural Club, Entrepreneurship Cell, Sports Club"
Lindsay Guerrero,23.0,98.47,Literary Society
Neha,20.0,85.83,"Coding Club, Sports Club, Cultural Club"
Zachary Burton,21.0,79.23,"Robotics, Coding Club, Sports Club"
Suresh,20.0,65.62,Sports Club
Victoria Camacho,22.0,94.85,"Cultural Club, Literary Society"
Neha,19.0,95.55,"Cultural Club, Coding Club"
Maria Fischer,21.0,91.45,Robotics
Tommy Moore,19.0,85.16,Entrepreneurship Cell
John Anderson,19.0,87.44,"Sports Club, Coding Club, Literary Society"
Michael Martin,20.0,80.9,"Entrepreneurship Cell, Cultural Club"
Vikram,18.0,72.13,"Sports Club, Literary Society"
Rakesh,23.0,86.2,Robotics
Felicia Krueger,18.0,91.65,Coding Club
Christina Barker,23.0,89.24,"Coding Club, Sports Club, Literary Society"
Karan,20.0,73.45,"Entrepreneurship Cell, Robotics"
Ravi,21.0,63.96,"Entrepreneurship Cell, Literary Society"
Wanda Ramos,21.0,85.67,Entrepreneurship Cell
Mr. Larry Shaw,20.0,85.87,"Sports Club, Coding Club, Entrepreneurship Cell"
Richard Sanchez,20.0,61.3,"Entrepreneurship Cell, Sports Club, Robotics"
